country,title
USA,Il principe degli attori
USA,Il principe del circo
USA,Il principe delle donne
USA,Il principe delle maree
USA,Il principe delle volpi
USA,Il principe di Pennsylvania
USA,Il principe e il povero
USA,Il principe guerriero
USA,Il principe ladro
USA,Il principe ranocchio
USA,Il principe studente
USA,Il principe studente
USA,Il principe Thorvald
USA,Il prode faraone
USA,Il professionista
USA,Il professore
USA,Il professore matto
USA,Il profumo del mosto selvatico
USA,Il profumo del successo
USA,Il promontorio della paura
USA,Il prossimo uomo
USA,Il pugnale cinese
USA,Il pugnale del bianco
USA,Il pugnale scomparso
USA,Il punto
Germany,Il quarto stato
USA,Il quarto tipo
USA,Il quarto uomo
USA,Il quinto paziente
USA,Il quinto potere
USA,Il racconto di Bombay
USA,Il ragazzo che sapeva volare
USA,Il ragazzo dai capelli verdi
USA,Il ragazzo del mare
USA,Il ragazzo della porta accanto
USA,Il ragazzo e il poliziotto
USA,Il ragazzo sul delfino
USA,Il raggio invisibile
USA,Il ragno nero
USA,Il ranch delle tre campane
USA,Il rapimento di Zack Butterfield
Germany,Il rapinatore
USA,Il rapporto Pelican
USA,Il ratto delle zitelle
USA,Il re degli scapoli
USA,Il re degli straccioni
USA,Il re degli zingari
USA,Il re dei barbari
USA,Il re dei chiromanti
USA,Il re dei giardini di Marvin
USA,Il re dei grizzly
USA,Il re dei Pecos
USA,Il re dei pellirosse
USA,Il re dei re
USA,Il re dei re
USA,Il re del jazz
USA,Il re del jazz
USA,Il re del rock and roll
USA,Il re del sottosuolo
USA,Il re del supermarket
USA,Il re della jungla
USA,Il re della Louisiana
USA,Il re della polka
USA,Il re della prateria
USA,Il re della risata
USA,Il re delle isole
USA,Il re di Staten Island
USA,Il re e la ballerina
USA,Il re ed io
USA,Il re ed io
USA,Il Re Leone
USA,Il re scorpione
USA,Il re vagabondo
USA,Il reduce
USA,Il regno dei malvagi stregoni
USA,Il regno del fuoco
USA,Il regno del terrore
USA,Il regno proibito
USA,Il replicante
USA,Il ribelle
USA,Il ribelle
USA,Il ribelle di Giava
USA,Il ribelle torna in cittA 
USA,Il ricatto piA¹ vile
USA,Il richiamo dei figli
USA,Il richiamo della foresta
USA,Il richiamo della foresta
USA,Il ricordo di un aprile
USA,Il rifugio
USA,Il riscatto degli indiani
USA,Il risolutore
USA,Il risveglio del dinosauro
USA,Il risveglio delle tenebre
USA,Il ritmo del successo
USA,Il rito
USA,Il ritorno degli zombi
USA,Il ritorno dei morti viventi
USA,Il ritorno dei morti viventi 2
USA,Il ritorno dei morti viventi 3
USA,Il ritorno dei nerds
USA,Il ritorno dei ninja
USA,Il ritorno dei pomodori assassini
USA,Il ritorno del campione
USA,Il ritorno del dottor X
USA,Il ritorno del kentuckiano
USA,Il ritorno del lupo
USA,Il ritorno del mostro della palude
USA,Il ritorno del pistolero
USA,Il ritorno del samurai
USA,Il ritorno del vampiro
USA,Il ritorno della famiglia Brady
USA,Il ritorno della scatenata dozzina
USA,Il ritorno della straniera
USA,Il ritorno dello Jedi
USA,Il ritorno di Black Stallion
USA,Il ritorno di Butch Cassidy e Kid
USA,Il ritorno di Harry Collings
USA,Il ritorno di Jess il bandito
USA,Il ritorno di Joe Dakota
USA,Il ritorno di Kenshiro
USA,Il ritorno di Lassie
USA,Il ritorno di Mary Poppins
Germany,Il ritorno di Mr. Ripley
USA,Il ritorno di Tiger
USA,Il ritratto di Dorian Gray
USA,Il ritratto di Jennie
USA,Il rivoluzionario
USA,Il robot e lo Sputnik
USA,Il rock A¨ femmina
USA,Il rodeo
USA,Il romanzo di lilian russell
USA,Il romanzo di Mildred
USA,Il romanzo di Telma Jordon
USA,Il romanzo di una vita
USA,Il rompicuori
USA,Il rompiscatole
USA,Il sadico
USA,Il salario della paura
Germany,Il sale sulla pelle
USA,Il salvataggio
USA,Il sangue di Cristo
USA,Il santo
USA,Il sapore del delitto
USA,Il sapore del sangue
USA,Il sapore del successo
USA,Il sapore della vittoria - Uniti si vince
USA,Il sapore di un bacio
USA,Il sarto di Panama
USA,Il segnato
USA,Il segno degli Hannan
USA,Il segno del capricorno
USA,Il segno del peccato
USA,Il segno della croce
USA,Il segno della giustizia
USA,Il segno della legge
