country,title
Germany,Abikalypse
USA,Abilene
USA,Ablaze
USA,Able Danger
USA,Able Edwards
USA,"Abner, the Invisible Dog"
USA,Abnormal Attraction
USA,Abominable
USA,Abominable
Germany,About a Girl
USA,About Alex
USA,About Cherry
USA,About Face
USA,About Fifty
USA,About Last Night
USA,About Scout
USA,Above & Beyond
USA,Above Ground - Segreti sepolti
USA,Above Suspicion
USA,Above Suspicion
USA,Above the Rim
USA,Above the Shadows
Germany,Abrafaxe e i pirati dei Caraibi
USA,Abramo Lincoln
USA,Abrupt Decision
Germany,Abschied - Brechts letzter Sommer
Germany,Abschussfahrt
USA,Absence
USA,Absentia
USA,Absolute Deception
Germany,Absolute Evil
USA,Absolute Fear
Germany,Absolute Giganten
USA,Absolute Killers
USA,Absolute Quiet
USA,Abstruse
Germany,Absurdistan
USA,Abundant Acreage Available
USA,Abuse
USA,Acapulco - anche gli eroi sono assassini
USA,Accadde a Brooklyn
USA,Accadde il giorno di San Valentino
USA,Accadde in Atene
USA,Accadde in paradiso
USA,Accadde in settembre
USA,Accadde nella quinta strada
USA,Accadde una notte
USA,Accadde una sera
USA,Accadde una volta
USA,Accademia mortuaria
USA,Accademia... di guerra
USA,Acceleration
USA,Accerchiato
USA,Acciaio blu
USA,Acciaio umano
USA,Accidental Exorcist
USA,Accidental Love
USA,Accidenti che ospitalitA !
USA,Accidenti che ragazza!
USA,Accidents Will Happen
USA,Acciuffate quella donna
USA,Accomplice
USA,Accordi & disaccordi
USA,Accordi sul palcoscenico
USA,According to Spencer
USA,Accusato speciale
USA,Accused at 17
USA,Ace Drummond
USA,Ace of Aces
USA,Ace the Case - Piccola investigatrice a Manhattan
USA,Ace Ventura - Missione Africa
USA,Ace Wonder: Message from a Dead Man
USA,Aces
USA,Aces and Eights
USA,Achchamundu! Achchamundu!
USA,Acne
USA,Acque del Sud
USA,Acque profonde
USA,Acque scure
USA,Acque torbide
USA,Acrimony
USA,Across the Hall
USA,Across the Line
USA,Across the Moon
USA,Across the Sea of Time
USA,Across the Universe
USA,Acrylic
USA,Act Like You Love Me
USA,Act Naturally
USA,Act of Valor
USA,Act One
USA,Action Jackson
USA,Action Point
USA,Action U.S.A.
USA,Actor for Hire
USA,Actor Martinez
USA,Actors and Sin
USA,Actress Apocalypse
USA,Acts of Worship
USA,Ad alto rischio
USA,Ad est di Sumatra
USA,Ad occhi aperti
USA,Ad ovest del Montana
USA,Ada Dallas
USA,Adaline
USA,Adam
USA,Adam
USA,Adam & Evil
USA,Adam & Steve
USA,Adam and Eve
USA,Adam at Six A.M.
Germany,Adam Resurrected
USA,Adam si Sposa
USA,Addicted - Desiderio irresistibile
USA,Addicted to Fresno
USA,Addio al re
USA,Addio alle armi
USA,Addio alle armi
USA,Addio Broadway!
USA,Addio dottor Abelman!
USA,Addio lady!
USA,Addio signora Leslie
USA,Address Unknown
USA,AdiA³s Amigo
Germany,Adieu Paris
USA,Adios Vaya Con Dios
USA,Admission - Matricole dentro o fuori
USA,Adolescence
USA,Adolescente delle caverne
USA,Adolescenza inquieta
USA,Adonis Complex
USA,Adopt a Highway
USA,Adopt a Sailor
USA,Adopted
USA,Adopting Trouble
USA,Adorabile infedele
USA,Adorazione
USA,Adrenalina
USA,Adrift in Manhattan
USA,Adult Beginners
USA,Adult World
USA,Advantageous
USA,Adventure Force 5
USA,Adventure in Iraq
USA,Adventure in Manhattan
USA,Adventure in Sahara
USA,Adventure Scouts
USA,Adventureland
USA,Adventures in the Sin Bin
USA,Adventures of Aladdin
USA,Adventures of Bailey: The Lost Puppy
USA,Adventures of Captain Marvel
USA,Adventures of Frank and Jesse James
USA,Adventures of Johnny Tao
USA,Adventures of Power
USA,Adventures of Red Ryder
USA,Adventures of Rusty
USA,Adventures of Serial Buddies
USA,Adventures of Tarzan
USA,Advice from a Caterpillar
USA,Aerial Gunner
USA,Affairs of Cappy Ricks
USA,Affairs of State - Intrighi di Stato
USA,Affare fatto
USA,Affari di famiglia
USA,Affari di sangue
USA,Affari sporchi
Germany,AffenkA¶nig
USA,Affliction
USA,Affluenza
USA,Affrontando i giganti
USA,Afghan Knights
USA,Africa strilla
USA,African Treasure
USA,After
USA,After
USA,After
USA,After Dark
USA,After Earth
USA,After Effect
USA,After Everything
USA,After Last Season
USA,After Louie
USA,After Midnight
USA,After Midnight
USA,After Midnight with Boston Blackie
USA,After School Massacre
USA,After School Special
USA,After Sex
USA,After Sex - Dopo il sesso
USA,After She Wakes
USA,After the Apocalypse
USA,After the Dark
USA,After the Dawn
USA,After the Fall
USA,After the Game
USA,After the Outbreak
USA,After the Rain
USA,After the Reality
USA,After the Sunset
USA,After the Wedding
USA,After the Wizard
USA,After Tomorrow
USA,After We Leave
USA,After Words
USA,After...
USA,After.Life
USA,Afterburn/Aftershock
USA,Afterglow
USA,Aftermath
USA,Aftermath
USA,Afternoon Delight
USA,Afterschool
USA,Aftershock
USA,Aftershock
USA,AfterThought
Germany,Afterwards
USA,Against a Crooked Sky
USA,Against All Hope
USA,Against the Clock
USA,Against the Law
USA,Against the Night
USA,Against the Ropes
USA,Against the Sun
USA,Age of Dinosaurs
USA,Age of Summer
USA,Age of the Dragons
USA,Agent Jade Black
Germany,Agent Ranjid rettet die Welt
USA,Agente 373 Police Connection
USA,Agente 4K2 chiede aiuto
USA,Agente Cody Banks
USA,Agente Cody Banks 2 - Destinazione Londra
USA,Agente federale
USA,Agente federale X3
USA,Agente H.A.R.M.
USA,"Agente Hauser, non entrare in quella scuola"
USA,Agente Newman
USA,Agente segreto Z1
USA,Agente Smart - Casino totale
USA,Agenzia divorzi
USA,Agenzia omicidi
USA,Agenzia salvagente
USA,"Aggie Appleby, Maker of Men"
USA,Agguato ai Caraibi
USA,Agguato ai tropici
USA,Agguato alle Hawaii
USA,Agguato nel sole
USA,Agguato nella savana
USA,Agguato sul fondo
Germany,Agnes
Germany,Agnes und seine BrA¼der
USA,Agnese di Dio
Germany,Agnieszka
USA,Agonia sui ghiacci
Germany,Agonie
USA,Agony of Love
USA,Agoraphobia
USA,Ah Wilderness!
USA,A-Haunting We Will Go
USA,Ahockalypse
USA,Ai confini del delitto
Germany,Ai confini del paradiso
USA,Ai confini della realtA 
USA,Ai vostri ordini signora!
Germany,AimA©e & Jaguar
USA,Aimee Semple McPherson
USA,Aimy in a Cage
USA,Air - I custodi del risveglio
USA,Air America
USA,Air Bud - Campione a quattro zampe
USA,Air Bud 2 - Eroe a quattro zampe
USA,Air Force One
Germany,Air Force Two
USA,Air Hostess
USA,Air Marshal
USA,Airboss
USA,Airheads - Una band da lanciare
USA,Airplane Mode
USA,Airport
USA,Airport 75
USA,Airspeed - Il volo del terrore
USA,Aiuto vampiro
USA,Aiuto! Mi sono persa a New York
Germany,Aiuto! Sono un pesce
Germany,"Aiuto, ho ristretto la prof!"
Germany,"Aiuto, ho ristretto mamma e papA "
Germany,"Aiuto, sono un ragazzo...!"
Germany,Ajami
USA,Akron
USA,Al calare delle tenebre
USA,Al Capone
USA,Al caporale piacciono le bionde
USA,Al chiaro di luna
USA,Al di lA  dei sogni
USA,Al di lA  del domani
USA,Al di lA  del fiume
USA,Al di lA  del mistero
USA,Al di lA  della vita
USA,Al di lA  della vita
USA,Al di lA  delle tenebre
USA,Al di lA  di ogni ragionevole dubbio
USA,Al di lA  di ogni sospetto
USA,Al di lA  di tutti i limiti
USA,Al di sopra di ogni sospetto
USA,Al Jolson
USA,Al Natale non si resiste
USA,Al passo con gli Steins
USA,Al tuo ritorno
USA,Al vertice della tensione
USA,Ala errante
USA,AlA¬
USA,AlA¬ BabA  e i 40 ladroni
USA,AlA¬ BabA  va in cittA 
USA,Alabama Moon
USA,Aladdin
USA,Alambrista!
USA,Alamo
USA,Alamo - Gli ultimi eroi
USA,Alamo Bay
USA,Alan & Naomi
USA,"Alan, il conte nero"
USA,Alarmed
USA,Alaska
Germany,Alaska.de
USA,Alba di fuoco
USA,Alba fatale
USA,Alba rossa
USA,Alba selvaggia
Germany,Albert Schweitzer
USA,Albino Farm
USA,Albion: The Enchanted Stallion
USA,Alcatraz Prison Escape: Deathbed Confession
USA,Alchemy
USA,Alcool
USA,Alex & Emma
USA,Alex & Me
USA,Alex & The List
USA,Alex Cross - La memoria del killer
USA,Alex in Wonder
USA,Alex Strangelove
Germany,Alex und der LA¶we
USA,Alexander
USA,Alexander Hamilton
USA,Alexander IRL
USA,Alexander the Last
USA,Alfa & Omega
USA,Alferd Packer: The Musical
Germany,Algol - TragA¶die der Macht
USA,Algorithm
USA,Ali
USA,Ali bruciate
USA,Ali nel buio
USA,Ali sulla Cina
USA,Alias Boston Blackie
USA,Alias Jimmy Valentine
USA,Alibi
USA,Alibi di cristallo
USA,Alibi Ike
USA,Alibi perfetto
USA,Alibi seducente
USA,Alice
USA,Alice attraverso lo specchio
USA,Alice Cooper: Welcome to My Nightmare
USA,Alice D
USA,Alice Goodbody
